"measure","count","total","percent"
"Expan_HMDS",17,147,11.5646258503401
"Expan_LMDS",23,147,15.6462585034014
"NoExpan_HMDS",26,147,17.687074829932
"NoExpan_LMDS",81,147,55.1020408163265
