"","log2fc_val",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"omega-muricholic acid",0.543049329313227,"mvalue","Survivor","Non-Survivor",102,45,2840,0.0221,0.0973363636363636,"ns"
"p-cresol",-0.278227658416948,"mvalue","Survivor","Non-Survivor",102,45,2741.5,0.0608,0.179922580645161,"ns"
"palmitic acid",-0.908678290729702,"mvalue","Survivor","Non-Survivor",102,45,1989,0.199,0.344104166666667,"ns"
"pantothenic acid",0.730726595973485,"mvalue","Survivor","Non-Survivor",102,45,2653,0.133,0.283051282051282,"ns"
"phenol",0.896749959338103,"mvalue","Survivor","Non-Survivor",102,45,2332,0.878,0.922455696202532,"ns"
"phenylalanine",-0.273276881546338,"mvalue","Survivor","Non-Survivor",102,45,2205,0.707,0.792986486486487,"ns"
"proline",-0.0456901031879159,"mvalue","Survivor","Non-Survivor",102,45,2426,0.583,0.691271428571429,"ns"
"propionate",-0.0586961837340998,"mvalue","Survivor","Non-Survivor",102,45,2757,0.0524,0.162003703703704,"ns"
"serotonin",0.416957313325223,"mvalue","Survivor","Non-Survivor",102,45,2681,0.105,0.237783783783784,"ns"
"succinate",0.535985463419974,"mvalue","Survivor","Non-Survivor",102,45,2049.5,0.303,0.465722222222222,"ns"
"tauro-alpha-muricholic acid or tauro-beta-muricholic acid",0.526103462829544,"mvalue","Survivor","Non-Survivor",102,45,2452.5,0.509,0.657615384615385,"ns"
"taurochenodeoxycholic acid",0.928770818715376,"mvalue","Survivor","Non-Survivor",102,45,2497.5,0.396,0.576631578947368,"ns"
"taurocholic acid",1.83945490305127,"mvalue","Survivor","Non-Survivor",102,45,2482,0.433,0.598983333333333,"ns"
"taurodeoxycholic acid",-0.194324236674413,"mvalue","Survivor","Non-Survivor",102,45,2731,0.0672,0.179922580645161,"ns"
"taurohyodeoxycholic acid",0.474140565901879,"mvalue","Survivor","Non-Survivor",102,45,2428.5,0.576,0.691271428571429,"ns"
"taurolithocholic acid",-1.52712836170674,"mvalue","Survivor","Non-Survivor",102,45,2920.5,0.00862,0.0596216666666667,"ns"
"tauroursodeoxycholic acid",2.89317147247467,"mvalue","Survivor","Non-Survivor",102,45,2456,0.5,0.657615384615385,"ns"
"tryptamine",-0.897858143723451,"mvalue","Survivor","Non-Survivor",102,45,1975,0.179,0.316106382978723,"ns"
"tryptophan",-1.17000254538929,"mvalue","Survivor","Non-Survivor",102,45,1656,0.00728,0.0596216666666667,"ns"
"tryptophol",-0.372224202828807,"mvalue","Survivor","Non-Survivor",102,45,2145.5,0.531,0.657805970149254,"ns"
"tyramine",0.0490917711571454,"mvalue","Survivor","Non-Survivor",102,45,2101,0.416,0.593661016949153,"ns"
"tyrosine",-0.662919566917727,"mvalue","Survivor","Non-Survivor",102,45,1642.5,0.00612,0.0596216666666667,"ns"
"ursodeoxycholic acid",-0.786916148570302,"mvalue","Survivor","Non-Survivor",102,45,2887.5,0.0128,0.0708266666666667,"ns"
"valerate",0.189237561224909,"mvalue","Survivor","Non-Survivor",102,45,2735,0.0647,0.179922580645161,"ns"
"valine",-0.475152004199377,"mvalue","Survivor","Non-Survivor",102,45,2128,0.484,0.647935483870968,"ns"
